Qual é o maior planeta do sistema solar?,Júpiter,Saturno,Terra,Marte,Júpiter
Qual é o animal mais rápido do mundo?,Guepardo,Peregrino,Leopardo,Falcão-peregrino,Falcão-peregrino
Quantos ossos um ser humano adulto tem?,206,208,210,212,206
Qual é a unidade de medida de temperatura ºC?,Graus Celsius,Kelvin,Fahrenheit,Rankine,Graus Celsius
Qual é o elemento químico mais abundante na crosta terrestre?,Oxigênio,Silício,Ferro,Hidrogênio,Oxigênio
Qual é a camada mais externa da Terra?,Crosta,Manto,Núcleo,Atmosfera,Crosta
Qual é o nome dado ao estudo dos seres vivos?,Biologia,Geologia,Química,Física,Biologia
Qual é a fórmula química da água?,H2O,H2SO4,CO2,NaCl,H2O
Qual é o maior órgão do corpo humano?,Pele,Fígado,Cérebro,Pulmão,Pele
Qual é o processo pelo qual as plantas produzem seu próprio alimento?,Fotossíntese,Respiração,Digestão,Circulação,Fotossíntese
Qual é o processo pelo qual a luz é convertida em energia química pelas plantas?,Fotossíntese,Respiração,Digestão,Circulação,Fotossíntese
Qual é o processo de decomposição de materiais orgânicos por microorganismos?,Compostagem,Reciclagem,Fermentação,Degradacão,Compostagem
Qual é o processo de transformação de rochas ígneas ou sedimentares em rochas metamórficas?,Metamorfismo,Magma,Intemperismo,Erosão,Metamorfismo
Qual é o processo pelo qual um organismo se desenvolve a partir de um ovo não fertilizado?,Partenogênese,Clonagem,Meiose,Fecundação,Partenogênese
Qual é a função do sistema respiratório humano?,Troca de gases,Troca de nutrientes,Eliminação de resíduos,Suporte e movimento,Troca de gases
Qual é a unidade básica da hereditariedade?,Gene,Cromossomo,DNA,Proteína,Gene
Qual é o processo de divisão celular que resulta em células reprodutivas haploides?,Meiose,Mitose,Fecundação,Clonagem,Meiose
Qual é a principal função do sistema nervoso?,Transmissão de sinais,Regulação de temperatura,Produção de hormônios,Digestão dos alimentos,Transmissão de sinais
Qual é o tipo de célula que é capaz de se diferenciar em qualquer tipo de célula do corpo?,Célula-tronco,Célula nervosa,Célula muscular,Célula sanguínea,Célula-tronco
Qual é a unidade fundamental da vida?,Célula,Átomo,Molécula,Organismo,Célula
Qual é o processo pelo qual os organismos mantêm um ambiente interno estável?,Homeostase,Evolução,Adaptação,Metamorfose,Homeostase
Qual é a substância responsável pela transmissão de impulsos nervosos?,Neurotransmissores,Enzimas,Hormônios,Vitaminas,Neurotransmissores
Qual é o nome dado ao conjunto de ossos que protegem o cérebro?,Crânio,Coluna vertebral,Esterno,Pelve,Crânio
Qual é o tipo de músculo que é voluntariamente controlado pelo cérebro?,Músculo esquelético,Músculo cardíaco,Músculo liso,Músculo estriado,Músculo esquelético
Qual é a unidade básica de vida das plantas?,Célula vegetal,Célula animal,Cloroplasto,Estoma,Célula vegetal
Qual é o componente mais abundante no ar que respiramos?,Nitrogênio,Oxigênio,Dióxido de carbono,Argônio,Oxigênio
Qual é o órgão responsável pela produção de insulina no corpo humano?,Pâncreas,Fígado,Rim,Baço,Pâncreas
Qual é o nome dado ao processo de transporte de água através de uma planta?,Transpiração,Evaporação,Capilaridade,Fotossíntese,Transpiração
Qual é o órgão responsável pela filtragem do sangue no corpo humano?,Rim,Fígado,Pulmão,Estômago,Rim
Qual é o processo pelo qual a energia do sol é capturada pelos cloroplastos e convertida em energia química?,Fotossíntese,Respiração,Digestão,Clorofila,Fotossíntese
