Pergunta,Opção A,Opção B,Opção C,Opção D,Resposta Correta
Qual é a sigla para o termo 'Wi-Fi'?,Wireless Fidelity,World Finder,Wide Finder,Worldwide Fidelity,Wireless Fidelity
Qual é o nome do criador da Microsoft?,Steve Jobs,Jeff Bezos,Bill Gates,Mark Zuckerberg,Bill Gates
Qual é a função principal do GPS?,Transmitir sinais de TV,Enviar e-mails,Navegação por satélite,Tocar música,Navegação por satélite
Qual é a linguagem de programação mais utilizada para desenvolvimento de aplicativos Android?,Java,C++,Python,Kotlin,Java
Qual é o nome do primeiro computador pessoal?,Macintosh,IBM PC,Compaq Portable,Altair 8800,Altair 8800
O que significa 'HTTP'?,HyperText Transfer Protocol,High-Tech Transfer Protocol,HyperText Terminal Process,High-Tech Terminal Process,HyperText Transfer Protocol
Qual é o significado da sigla 'PDF'?,Personal Document Format,Portable Document Format,Private Document Format,Public Document Format,Portable Document Format
Quem é considerado o pai da Internet?,Tim Berners-Lee,Bill Gates,Steve Jobs,Linus Torvalds,Tim Berners-Lee
Qual destes é um sistema operacional para dispositivos móveis?,Windows,macOS,Linux,Android,Android
Qual é o componente básico de um computador que armazena dados permanentemente?,CPU,GPU,RAM,Hard Disk Drive,Hard Disk Drive
Qual é o nome do criador da Apple?,Steve Jobs,Jeff Bezos,Bill Gates,Mark Zuckerberg,Steve Jobs
Quem criou o Facebook?,Steve Jobs,Jeff Bezos,Bill Gates,Mark Zuckerberg,Mark Zuckerberg
Qual é a função principal do Bluetooth?,Transmitir sinais de TV,Enviar e-mails,Conectar dispositivos sem fio,Transmitir música,Conectar dispositivos sem fio
Qual é a linguagem de marcação usada para criar páginas da web?,HTML,CSS,JavaScript,Python,HTML
Qual destes não é um navegador da web famoso?,Google Chrome,Firefox,Safari,Adobe Reader,Adobe Reader
Qual é a sigla para o termo 'URL'?,Uniform Resource Locator,Universal Resource Locator,Unified Resource Locator,Unique Resource Locator,Uniform Resource Locator
Qual é o nome do sistema operacional da Apple para computadores pessoais?,macOS,Windows,Linux,Android,macOS
Qual destas não é uma rede social famosa?,Facebook,Instagram,Twitter,Amazon,Amazon
Qual é a função principal do USB?,Conectar dispositivos de armazenamento,Transmitir sinais de TV,Enviar e-mails,Conectar à internet,Conectar dispositivos de armazenamento
Qual destes não é um site de compartilhamento de vídeos?,YouTube,Vimeo,Dailymotion,Google Maps,Google Maps
O que significa 'HTML'?,HyperText Markup Language,High-Tech Markup Language,HyperText Media Language,High-Tech Media Language,HyperText Markup Language
Qual é o nome do navegador da web desenvolvido pela Microsoft?,Internet Explorer,Google Chrome,Firefox,Safari,Internet Explorer
Qual é o sistema operacional mais utilizado em servidores web?,Linux,Windows,macOS,Android,Linux
Qual é o componente de hardware responsável por processar dados?,CPU,GPU,RAM,Hard Disk Drive,CPU
Qual é o nome da loja de aplicativos para dispositivos Android?,Google Play Store,App Store,Windows Store,Amazon Store,Google Play Store
Qual é o nome do protocolo usado para enviar e-mails?,SMTP,HTTP,FTP,TCP,SMTP
Qual é o componente de hardware responsável pela exibição de imagens no monitor?,GPU,CPU,RAM,Hard Disk Drive,GPU
Qual é a tecnologia de comunicação sem fio de curto alcance usada para pagar contas ou transferir dados?,NFC,Bluetooth,Wi-Fi,USB,NFC
Qual é o nome do serviço de armazenamento em nuvem da Google?,Google Drive,OneDrive,iCloud,Dropbox,Google Drive
Qual é o nome da empresa que desenvolveu o sistema operacional Linux?,Linus Torvalds,Steve Jobs,Bill Gates,Tim Berners-Lee,Linus Torvalds
